bldg_id,winter_weekday_h00,winter_weekday_h01,winter_weekday_h02,winter_weekday_h03,winter_weekday_h04,winter_weekday_h05,winter_weekday_h06,winter_weekday_h07,winter_weekday_h08,winter_weekday_h09,winter_weekday_h10,winter_weekday_h11,winter_weekday_h12,winter_weekday_h13,winter_weekday_h14,winter_weekday_h15,winter_weekday_h16,winter_weekday_h17,winter_weekday_h18,winter_weekday_h19,winter_weekday_h20,winter_weekday_h21,winter_weekday_h22,winter_weekday_h23,summer_weekday_h00,summer_weekday_h01,summer_weekday_h02,summer_weekday_h03,summer_weekday_h04,summer_weekday_h05,summer_weekday_h06,summer_weekday_h07,summer_weekday_h08,summer_weekday_h09,summer_weekday_h10,summer_weekday_h11,summer_weekday_h12,summer_weekday_h13,summer_weekday_h14,summer_weekday_h15,summer_weekday_h16,summer_weekday_h17,summer_weekday_h18,summer_weekday_h19,summer_weekday_h20,summer_weekday_h21,summer_weekday_h22,summer_weekday_h23,shoulder_weekday_h00,shoulder_weekday_h01,shoulder_weekday_h02,shoulder_weekday_h03,shoulder_weekday_h04,shoulder_weekday_h05,shoulder_weekday_h06,shoulder_weekday_h07,shoulder_weekday_h08,shoulder_weekday_h09,shoulder_weekday_h10,shoulder_weekday_h11,shoulder_weekday_h12,shoulder_weekday_h13,shoulder_weekday_h14,shoulder_weekday_h15,shoulder_weekday_h16,shoulder_weekday_h17,shoulder_weekday_h18,shoulder_weekday_h19,shoulder_weekday_h20,shoulder_weekday_h21,shoulder_weekday_h22,shoulder_weekday_h23,peak_day_h00,peak_day_h01,peak_day_h02,peak_day_h03,peak_day_h04,peak_day_h05,peak_day_h06,peak_day_h07,peak_day_h08,peak_day_h09,peak_day_h10,peak_day_h11,peak_day_h12,peak_day_h13,peak_day_h14,peak_day_h15,peak_day_h16,peak_day_h17,peak_day_h18,peak_day_h19,peak_day_h20,peak_day_h21,peak_day_h22,peak_day_h23
127,1.1139115,0.85769564,0.7775922,0.7777225,0.78064096,0.8642133,0.9409164,1.009955,1.300988,1.3537997,1.1841027,1.1924186,1.112617,1.2650353,1.0030142,1.1924844,1.0102814,1.2954105,1.7651719,2.289548,2.3897352,2.495604,2.3656902,1.7245336,2.6501362,2.4345202,2.2747502,2.1604528,1.7071896,1.8892978,2.0620675,2.2577155,2.248973,2.4406312,2.6163192,3.0214193,3.2734516,3.46913,3.674677,4.072884,4.629392,4.8889275,5.1864495,5.7737064,5.378126,4.8199368,3.8348384,3.0155976,1.2589849,1.1202537,1.0576692,1.0246464,0.94438803,0.9782864,1.1021705,1.2648138,1.2947208,1.3869992,1.3721756,1.6977781,1.8996618,1.9174951,1.9341848,2.108197,2.5761495,2.727997,3.021566,3.2875645,3.1365767,2.841189,2.1943197,1.6736721,3.8803699016571045,3.461169958114624,3.157060146331787,2.9154200553894043,2.2830100059509277,2.309619903564453,2.232300043106079,2.239029884338379,2.3205299377441406,2.770630121231079,3.333509922027588,4.02918004989624,4.749660015106201,4.925169944763184,5.282740116119385,5.871040344238281,7.3705902099609375,9.344030380249023,7.875229835510254,7.318650245666504,7.3310699462890625,6.939330101013184,5.946000099182129,4.768119812011719
174,0.60371643,0.5453106,0.4549514,0.4696036,0.47907484,0.48747328,0.515938,0.6875005,0.66100013,0.6053381,0.5784038,0.66132814,0.54326016,0.51427656,0.49976936,0.51952577,0.57544404,0.6870408,0.91775954,1.2894131,1.5542617,1.6653998,1.4299586,0.9069133,2.8496096,2.5819473,2.3623314,2.180024,2.0275106,1.9136829,2.0708375,2.112554,2.0580697,2.0327256,2.2311268,2.5985548,2.7808235,3.1350675,3.4441762,3.6919718,4.0663834,4.441543,4.5640855,4.860158,4.6963573,4.3415575,3.7058804,3.152337,1.0029336,0.87176275,0.8011773,0.7556301,0.715529,0.69933224,0.9507841,1.0384727,0.9530746,0.7928251,0.87472683,0.8646247,0.9219911,1.0365344,1.1769689,1.3785299,1.5530019,1.7912928,2.1602926,2.2643018,2.2803159,2.2819679,1.5956448,1.163582,4.217909812927246,3.712630033493042,3.351840019226074,3.0095901489257812,2.718250036239624,2.5536699295043945,2.488679885864258,2.270319938659668,2.1782100200653076,2.6376399993896484,3.1341400146484375,3.6401100158691406,4.123189926147461,4.485139846801758,5.086170196533203,5.468070030212402,5.568619728088379,5.635419845581055,5.68943977355957,5.7252702713012695,5.848209857940674,6.2988600730896,13.032139778137207,5.237950325012207
428,1.7193956,1.6180984,1.6893952,1.7906294,1.9080514,2.0554419,2.1710033,2.4237692,2.7153578,2.7469058,2.4730332,2.0201035,1.9846858,2.7643259,2.3693454,1.3977766,1.2005928,1.1961076,1.3485103,1.6345572,1.3758897,1.2578247,1.395523,2.0801585,0.56767255,0.43465835,0.34533638,0.32642907,0.3188423,0.33449998,0.37787136,0.6732909,0.95232195,0.6439632,0.5489579,0.41775045,0.43513894,0.44628152,0.42727667,0.6015825,0.6240689,0.84898186,0.63039607,0.4762576,0.43322638,0.56813437,0.78140455,0.60841775,0.64996666,0.4953163,0.57545954,0.6575097,0.5067349,0.6152146,0.8452156,1.212889,1.2485423,1.2346706,1.1021495,0.7808086,0.7316464,0.74414855,0.6086001,0.5038605,0.5153807,0.7095309,0.70757645,0.73347795,0.6418515,0.76159096,0.83083415,0.8321593,4.795470237731934,4.155320167541504,3.920680046081543,4.041970252990723,4.145289897918701,4.224570274353027,4.3018999099731445,4.61421012878418,4.435550212860107,5.209310054779053,5.680890083312988,4.6559600830078125,12.77219009399414,28.865310668945312,9.447790145874023,6.810959815979004,6.566459655761719,5.7228899002075195,4.203320026397705,4.8018903732299805,4.37047004699707,6.428589820861816,5.723150253295898,4.049520015716553
752,0.64045227,0.5965094,0.51554626,0.45146593,0.4817161,0.49300548,0.60517377,0.9348463,1.2449546,1.0469685,0.9653323,1.0478431,1.1650027,1.1098679,1.186435,1.107522,1.1710528,1.2566389,1.3083135,1.3448361,1.3386737,1.2930554,1.3916619,1.2482438,0.655337,0.6079707,0.6058199,0.60102224,0.69789743,0.6483964,0.8690758,0.959323,1.043859,1.0527896,1.1219267,1.0232733,1.3917173,1.2982073,0.98835856,1.0918151,1.1261742,1.171561,1.3828918,1.4874066,1.3695724,1.3962574,1.0776565,0.79196393,0.60822564,0.53743124,0.53935057,0.5237437,0.56016046,0.5781682,0.8186159,1.1012855,1.0754261,1.1299481,1.0205977,1.081302,1.0627615,1.012348,1.0712675,1.150055,1.1520705,1.082055,1.2269964,1.2568871,1.3870591,1.3184364,1.0719827,0.7506023,0.6943399906158447,0.6600599884986877,0.6297100186347961,0.6099600195884705,0.8276799917221069,0.586329996585846,0.8613799810409546,1.0824699401855469,5.29826021194458,5.441140174865723,0.9451799988746643,1.0883400440216064,1.0527100563049316,1.094249963760376,1.2698900699615479,1.0007799863815308,1.9303500652313232,1.2978399991989136,1.0717300176620483,2.9529900550842285,5.083059787750244,1.480989933013916,0.9390100240707397,0.8113700151443481
803,0.53230476,0.5431108,0.45205188,0.3539175,0.31864843,0.34115437,0.3514128,0.40666986,0.49357578,0.82626855,0.65298015,0.5979091,0.6756375,0.7489791,1.0045785,0.9001889,0.82545733,0.93321925,0.84829265,1.0538125,0.8354717,0.78317404,0.90010357,0.73891497,0.27416286,0.24316484,0.24196258,0.24443667,0.24773607,0.27540454,0.29062727,0.36416212,0.70412165,0.8247333,1.2751117,1.226958,1.0038948,0.91455746,0.99614495,1.1178124,0.99209654,0.96132076,1.1681353,1.0781736,0.9988929,0.91139936,0.7967914,0.5262453,0.31884316,0.27811995,0.2500122,0.24552618,0.24846955,0.23981136,0.28659725,0.34899718,0.6941135,0.81827825,0.8379224,0.63680923,0.84163284,0.8362019,0.6719273,0.87104887,0.7915882,0.7326127,0.78759474,0.85199434,0.92261696,0.7742498,0.6082784,0.54234505,0.8255699872970581,0.9808399677276611,0.8554799556732178,0.8997000455856323,0.6208599805831909,0.5893999934196472,0.5800999999046326,0.5784800052642822,0.5616599917411804,0.5015199780464172,0.5847799777984619,1.3439099788665771,7.968820095062256,12.656120300292969,3.0136899948120117,1.090000033378601,1.067080020904541,1.4837099313735962,1.1043699979782104,2.1423399448394775,1.9598699808120728,1.3274600505828857,0.929610013961792,0.5074099898338318
820,1.2855239,0.86238295,0.8132237,0.8060839,0.80964124,0.8173995,0.8431955,0.928307,1.0348848,1.1103997,1.1773642,1.1572397,1.109656,1.3278425,1.2211035,1.2210902,1.2295066,1.2669132,1.4212958,1.5936353,1.6122482,1.7270603,1.8755347,1.6357919,1.57679,1.4408793,1.3737174,1.3146552,1.2652823,1.2240885,4.403843,3.7093027,3.2705023,3.3264277,3.535227,4.0620165,4.156057,4.526023,5.052721,5.675227,5.980424,6.176213,6.4268737,6.095774,5.7831454,2.63209,2.0137055,1.9004539,0.9082501,0.83334786,0.8021201,0.764763,0.76704115,0.7951078,1.7527745,1.5400141,1.5462546,1.7057586,1.6077086,1.7314984,1.8864999,1.877427,1.9882698,2.2174613,2.4282424,2.5058434,2.681469,2.6905842,2.4955597,1.7040367,1.3721572,1.097267,2.5471200942993164,2.3104898929595947,2.1914501190185547,2.0797901153564453,1.9565600156784058,1.8362900018692017,5.084869861602783,4.462920188903809,4.041999816894531,4.193739891052246,4.6407999992370605,5.03931999206543,5.857950210571289,6.492480278015137,6.955709934234619,7.664830207824707,7.911159992218018,8.010040283203125,8.434929847717285,8.797500610351562,11.15429973602295,8.47914981842041,3.9407100677490234,3.4752299785614014
1030,0.80216426,0.6696423,0.5433217,0.5408386,0.53963625,0.5832945,0.6783286,0.8160772,0.8405501,0.73765486,0.7443563,0.59555846,0.5766086,0.58943206,0.6378941,0.7187042,0.8058328,0.9407775,1.1852356,1.4566386,1.7349517,1.636302,1.3389956,0.9764144,1.5980791,1.5200908,1.470586,1.4212859,1.3904368,1.4023927,1.4807591,1.4727736,1.517741,1.6589174,1.6653687,1.7797421,1.9117256,2.0587194,2.031151,2.1974971,2.4569514,2.7913125,2.9287672,3.083698,3.1670415,2.9306657,2.0552552,1.754672,1.1128464,0.94904923,0.839199,0.77942365,0.7698825,0.79844844,0.93301237,0.9432943,0.89459103,0.8892005,0.9186219,0.94016457,0.9490433,1.0224644,1.0580575,1.1396226,1.3323587,1.6506773,1.8986657,1.932831,1.9608718,1.7305952,1.4372226,1.1271788,1.6947300434112549,1.621840000152588,1.5517100095748901,1.493730068206787,1.4427900314331055,1.4044100046157837,1.4929299354553223,1.453819990158081,1.496109962463379,1.7377099990844727,2.1068999767303467,5.690400123596191,8.55128002166748,7.820010185241699,2.38959002494812,2.480720043182373,2.71382999420166,3.187429904937744,3.353250026702881,3.4581398963928223,3.3790600299835205,2.87431001663208,2.1786999702453613,1.872849941253662
1293,0.7652912,0.47700703,0.46443173,0.4486214,0.46477392,0.47625843,0.52233374,0.6371442,0.8103981,1.1046084,1.4234474,1.5756211,1.6534086,1.6090376,1.3356683,1.1885893,1.1232078,1.0746981,1.1347048,1.0605118,1.2534542,1.2399579,1.3149529,1.0721757,4.353905,3.9981065,3.54562,3.2039728,2.994107,2.8502371,1.1430945,0.7501271,1.4573914,2.27446,3.014636,3.186216,3.2832937,3.2034478,3.4094362,3.8146267,4.110168,4.481935,4.3946953,4.4160457,4.020775,6.4629025,6.3890104,5.174588,1.617994,1.5033352,1.3574194,1.2549082,1.1764954,1.148835,0.72479707,0.7334822,0.99329567,1.3331155,1.6278627,1.6683277,1.6750743,1.6743008,1.6935339,1.7584481,1.9171906,1.9875815,1.8658323,1.9457409,1.8711903,3.445117,2.8063893,2.0317807,5.867569923400879,5.282790184020996,4.711589813232422,4.207200050354004,3.8829100131988525,3.59158992767334,1.4022300243377686,1.0608599185943604,1.9148800373077393,2.5338399410247803,3.521820068359375,3.9929399490356445,4.865520000457764,4.891180038452148,5.822080135345459,5.802450180053711,6.26324987411499,6.663029670715332,7.125639915466309,6.776140213012695,6.536149978637695,7.546289920806885,7.856780052185059,7.3185601234436035
1332,2.0371919,2.1746757,2.2324657,2.3515599,2.4905066,2.6190016,2.9779592,3.3678942,3.5018287,2.981971,2.4388654,1.8423021,1.792943,1.3894638,1.2232325,1.2183995,1.3941011,1.7259338,2.2550204,2.4427783,2.4828851,2.7688088,2.2285833,1.9224703,1.8474197,1.621058,1.4429044,1.342632,1.35016,1.3367978,1.4229968,1.3736014,1.3342223,1.435645,1.8698325,2.539234,3.0702412,3.487552,3.7809951,4.004228,4.3136187,4.622992,4.676573,4.5727577,3.9015415,3.3549309,2.483501,1.9989758,1.1196911,1.1046315,1.1375337,1.1753184,1.2212995,1.3644586,1.6220478,1.647486,1.5262018,1.2740934,1.2337333,1.3309504,1.4779117,1.681332,1.9364859,2.171328,2.3673048,2.812391,2.8843281,2.634864,2.3759923,1.8741816,1.4051714,1.1185685,4.516210079193115,4.782449722290039,5.142430305480957,5.315609931945801,5.396559715270996,5.642879962921143,5.807919979095459,6.297659873962402,5.534460067749023,5.525129795074463,5.36407995223999,4.916979789733887,5.685359954833984,4.304369926452637,3.58804988861084,3.515399932861328,3.575659990310669,3.7611000537872314,4.514590263366699,4.785610198974609,5.077589988708496,5.558559894561768,5.272560119628906,5.913640022277832
1528,0.50375646,0.5266369,0.3847964,0.38943157,0.4292289,0.47862813,0.49992767,0.75997955,1.0829816,0.7268814,1.1874204,0.6230305,0.53460264,0.49926174,0.49828297,0.436995,0.44876578,0.45390046,0.75306267,0.8678976,1.0061349,1.3784779,1.1913987,1.0525706,0.96178347,0.86099225,0.7756818,0.71454424,0.6717653,0.7029071,0.8152773,0.5985251,0.90378577,0.5975873,0.7434936,0.67957383,0.6773152,0.7772771,0.7896429,0.80980664,0.813568,1.3986747,1.48324,1.5611055,1.512919,1.4734937,1.4257635,0.9568059,0.61824596,0.48475152,0.42544833,0.438807,0.41127983,0.44961062,0.540492,0.7442689,0.7069269,0.52717257,0.516779,0.476848,0.47605902,0.467649,0.47415754,0.49224848,0.45914418,0.85683,0.87129384,1.0514811,1.1189809,1.1735408,1.046883,0.6796515,1.1734800338745117,1.2352099418640137,0.8969299793243408,0.8455600142478943,0.8027199506759644,0.7609699964523315,1.0444999933242798,0.8098899722099304,1.1616599559783936,0.610480010509491,0.7448700070381165,0.7577999830245972,0.7814199924468994,0.9395899772644043,0.9407199621200562,1.2114399671554565,1.0130300521850586,1.8662300109863281,1.8258600234985352,3.6911702156066895,2.4222798347473145,3.642169952392578,2.522059917449951,1.3051199913024902
1637,5.9628644,5.8980494,5.576614,5.891419,6.224875,6.717057,7.3633165,8.081238,7.8746324,6.7239504,4.733276,3.444623,3.0204315,2.7770317,2.6021893,2.923028,2.974731,3.720477,7.5344996,6.3921237,6.4459066,6.0138288,6.0494714,5.4418106,3.6911418,3.318585,3.1202781,3.0157983,2.97899,3.0667157,3.787955,4.217653,3.6574783,4.968619,4.8814473,4.972113,5.251318,5.4812517,5.91436,6.448117,6.9183865,6.74885,7.4571867,7.542348,7.329667,6.5763206,5.1874146,4.133798,2.3737538,2.2318175,2.225957,2.2267795,2.36221,2.6730447,3.3124878,3.6565297,3.4174898,3.6963425,2.859636,2.5437841,2.6608243,2.672331,2.7689126,2.9899151,3.6589546,4.7495933,5.059865,5.016109,4.825086,4.546244,3.4881256,2.6271665,13.942959785461426,13.977840423583984,13.056539535522461,13.325039863586426,13.4793701171875,13.51436996459961,14.731860160827637,15.067970275878906,14.489439964294434,14.533459663391113,11.00652027130127,10.96621036529541,10.697810173034668,10.368249893188477,10.163959503173828,10.225729942321777,10.489060401916504,11.554980278015137,16.83378028869629,18.489349365234375,29.4970703125,14.768790245056152,12.472729682922363,12.909859657287598
1704,1.0726101,1.2612492,1.4282931,1.5485686,0.6674964,0.86979234,1.1126773,1.32794,1.4083198,1.3136367,1.0353403,0.83145607,0.67868,2.0983882,0.97039515,0.6452981,0.5298631,0.5035361,0.51623327,0.62354827,0.75640154,0.8831625,0.9580842,1.0255301,0.85122013,0.752378,0.6729803,0.59701496,0.52393776,0.4663911,0.42948318,0.4368647,0.5347704,0.7089468,0.9094559,1.0873792,1.2438775,1.3777481,1.5252247,1.7004466,1.8492498,1.9442564,1.9638482,1.8509,1.591527,1.299768,1.1265944,0.96913284,0.32579353,0.3210799,0.30143642,0.30256695,0.16781306,0.18655947,0.20442304,0.2378487,0.27457258,0.27748334,0.28849185,0.34402174,0.42664558,0.58204556,0.508545,0.5538035,0.6189987,0.66461056,0.65690655,0.58546764,0.49182257,0.41218638,0.358078,0.31281656,5.1526899337768555,5.288579940795898,5.470660209655762,5.58450984954834,3.1536200046539307,4.151639938354492,4.412309646606445,4.637080192565918,4.787630081176758,4.87814998626709,4.836899757385254,4.617670059204102,4.29748010635376,6.753600120544434,5.677989959716797,5.012730121612549,4.901100158691406,4.931650161743164,5.040299892425537,5.536689758300781,5.190690040588379,5.209489822387695,5.270430088043213,5.34758996963501
1793,1.5650018,1.43082,1.2413172,1.2664104,1.3651671,1.5669653,2.1201882,3.0515738,3.0827405,2.9623559,2.86406,2.6346936,2.5270262,2.7289596,2.5278058,2.5411458,2.3811512,2.704172,2.9250858,3.1401465,3.2754962,3.399403,3.11106,2.408007,1.9096622,0.99162245,0.73409516,0.9499323,1.0816056,1.366148,1.8106278,1.9850144,1.9350544,2.0723774,2.6375039,2.8287244,2.6760855,2.7195883,2.8402724,3.0616055,3.2485046,3.2164788,3.417437,3.6301987,3.7506173,3.6515052,2.9387958,2.2916675,1.3785079,0.9184874,0.83223325,0.8002304,0.9221348,1.3373241,1.8038461,2.1219797,2.1691635,1.9511007,2.418747,2.428717,2.2916787,2.3543427,2.4671075,2.3456457,2.55846,2.8173363,3.1380162,3.1529422,3.3071818,3.0327597,2.4098363,1.7503114,2.8003101348876953,3.3161401748657227,3.6094400882720947,3.288640022277832,3.40093994140625,5.870960235595703,4.618659973144531,4.440929889678955,5.843700408935547,5.421000003814697,5.241179943084717,4.595149993896484,4.791860103607178,5.298439979553223,4.422869682312012,4.1225199699401855,5.579619884490967,5.003689765930176,6.716879844665527,5.17257022857666,5.168280124664307,5.063719749450684,4.933750152587891,4.692500114440918
1937,0.78637564,0.6419178,0.5976155,0.57063544,0.58168626,0.63477314,0.74948186,0.85596424,1.0155485,1.0517541,1.0273947,0.90149564,0.8918386,0.9191589,0.8989908,0.9302069,1.1656129,1.4268082,1.6331806,1.814365,2.2432954,2.6079197,2.1376877,1.3857933,0.8516088,0.8136014,0.7701502,0.7700547,0.8259873,0.94497913,1.0618529,1.0658641,1.036566,1.1018978,1.0778402,1.095482,1.1114488,1.105299,1.2730681,1.3759449,1.7733358,1.9368116,2.0313857,2.0755136,2.2963753,2.2701292,1.5376307,1.0057589,0.7541291,0.711022,0.6793187,0.66904455,0.72395134,0.8188156,0.9455177,1.0462122,1.0432967,1.115041,1.063734,1.0374827,1.0307182,1.0089719,1.1050545,1.2304614,1.6012579,1.828164,1.799664,2.0459979,2.3465996,2.3039832,1.6090044,0.9982748,1.3973400592803955,1.3983399868011475,1.3680999279022217,1.3700599670410156,1.439710021018982,1.5380500555038452,1.6460599899291992,2.660140037536621,1.7350599765777588,1.5923500061035156,1.5510900020599365,1.5714800357818604,1.5972900390625,1.6333600282669067,1.8630599975585938,3.4192399978637695,2.9462499618530273,2.3508200645446777,2.8804900646209717,2.6914899349212646,2.840559959411621,2.3717098236083984,1.4786399602890015,1.430150032043457
1946,4.914098,5.344333,2.8432682,3.2938771,4.0953217,4.618689,5.1124854,5.632823,5.613978,5.229767,4.6143703,8.415693,6.7706184,4.9750185,4.3328114,3.9803247,3.8399749,4.486564,5.047845,5.6808567,5.542944,5.324133,4.8877163,4.8665786,2.115161,1.9398208,1.8426919,1.7486945,1.6702381,1.7333136,1.9547501,2.0210848,1.9429464,2.0692208,2.0737035,2.0891643,2.115106,2.2711267,2.4657712,2.6453006,3.10839,3.7162087,4.218078,4.2536697,4.0778174,3.7354488,3.0332646,2.374109,1.8651596,1.5695496,1.1272413,1.1841428,1.3454005,1.5443907,1.9567009,2.1838663,2.0891235,1.8923156,2.7589178,2.8053093,2.2613513,1.8995036,1.7184429,1.6832069,1.9299129,2.290307,2.6638193,3.0107462,3.3293552,3.3191195,2.4241378,1.8325354,11.332659721374512,11.643600463867188,8.000570297241211,9.017370223999023,10.262590408325195,10.83633041381836,11.678420066833496,11.978489875793457,11.434100151062012,11.1354398727417,11.372220039367676,13.32271957397461,14.185709953308105,13.941289901733398,13.927209854125977,13.235889434814453,12.877399444580078,13.847769737243652,14.365619659423828,13.597709655761719,12.896090507507324,12.242700576782227,12.097530364990234,12.476419448852539
2097,0.57245183,0.5155489,0.38790563,0.33852938,0.3385364,0.36564282,0.4242581,0.5213302,0.5285119,0.5494417,0.58505905,0.55537534,0.8276036,0.7228328,0.67223096,0.59795904,0.588747,0.6046994,0.6406041,0.65206313,0.5851108,0.50214267,0.8997322,0.4962764,0.3678735,0.31285486,0.31483257,0.28824332,0.269135,0.29287076,0.38625878,0.3992306,0.43855074,0.49657273,0.56699276,0.90932256,0.81002015,0.9657764,0.9172038,0.8385258,0.90045166,1.0048848,0.9933348,0.972293,0.8292309,0.8227647,0.4151538,0.4536038,0.2736735,0.2387542,0.21932489,0.23141298,0.23107244,0.23559977,0.32212,0.38409916,0.48248747,0.48655313,0.44115368,0.5272953,0.5715457,0.811118,0.72703004,0.72332233,0.74062955,0.7345925,0.7328937,0.67754644,0.60870314,0.75411725,0.45051628,0.31837913,0.8363100290298462,0.5864800214767456,0.4779999852180481,0.5078200101852417,0.7684500217437744,0.5410100221633911,0.5523999929428101,1.644129991531372,0.6446099877357483,0.9215400218963623,3.1047699451446533,2.943269968032837,1.52006995677948,1.7080999612808228,0.8238499760627747,0.26151999831199646,0.34957998991012573,3.033940076828003,0.32964998483657837,0.9098500609397888,0.40939000248908997,0.42058998346328735,0.7125099897384644,0.7225599884986877
2105,1.1538358,1.0497133,1.056743,1.0715289,1.1241506,1.3088372,1.4034792,1.6411587,1.8649484,1.8570316,1.6506222,1.4835553,1.4299932,1.2488092,1.793472,1.5715758,1.3924735,1.4323556,1.727288,1.7504027,1.8494574,1.8570242,1.6486672,1.3861743,1.0337545,0.9675885,0.94061196,0.9044047,0.9064758,0.9144844,1.0956084,1.4053946,1.383373,1.4390152,1.3715768,1.4253114,1.5285574,1.6714545,1.5718316,1.5895299,1.728726,2.0178757,2.1841767,2.1513946,2.2131634,2.0303135,1.5679913,1.1462628,0.7788268,0.7331247,0.7288172,0.73580664,0.73424715,0.81317323,1.020343,1.3786929,1.4932698,1.3467739,1.2526793,1.1623852,1.2910467,1.2995377,1.2939159,1.3599116,1.4104507,1.5651218,1.778877,1.7652003,1.8224207,1.6241544,1.2486503,0.91668206,0.7388899922370911,1.7865700721740723,2.2590298652648926,2.336319923400879,2.376960039138794,2.391309976577759,2.4814999103546143,3.836169958114624,3.4643499851226807,5.1636199951171875,4.36939001083374,3.2414300441741943,2.535550117492676,2.907099962234497,3.5348899364471436,3.076280117034912,2.0088601112365723,2.4439001083374023,2.6868600845336914,2.653249979019165,2.7779700756073,2.6389098167419434,2.718100070953369,2.959049940109253
2409,0.83448493,0.5757945,0.6060667,0.79818845,0.65305096,0.7437995,0.94866,1.4795189,1.7357533,1.4579694,1.2997228,1.060318,0.9929594,1.0846673,1.087073,1.0122607,0.8936228,1.0812588,1.2624753,1.5381044,2.0749733,2.2243109,2.0400422,1.4157964,1.1741006,0.9743266,1.3295392,1.3099947,1.2742364,1.4226136,1.8572042,1.990446,1.7963647,1.6688395,1.6394757,1.0606489,1.1213344,1.1428696,1.2741656,1.4259237,1.6158469,1.9037044,2.0508032,2.1530206,2.3547118,2.3702688,1.8374813,1.2855802,0.83187777,0.8490891,1.1666788,0.9422184,0.8987946,1.0688021,1.4592061,1.8148557,1.7135043,1.4571526,1.3131473,1.0146792,1.0544986,1.0737108,1.0574362,1.1447517,1.1356432,1.2134174,1.4035525,1.7682009,2.160199,2.1265516,1.6085241,1.137543,3.5544700622558594,8.68179988861084,0.44916999340057373,1.0145000219345093,1.143339991569519,0.5888000130653381,1.0595500469207764,1.1476500034332275,1.823889970779419,5.77495002746582,9.571029663085938,8.107760429382324,0.8420400023460388,1.096869945526123,1.5759899616241455,3.177999973297119,4.491819858551025,8.832220077514648,8.865730285644531,2.0523600578308105,1.6726100444793701,0.9370800256729126,0.5094299912452698,0.7111499905586243
2410,0.4322934,0.49079782,0.5174016,0.5908664,0.66283125,0.77429545,5.2105284,5.556782,4.5226474,3.9034324,3.3789399,2.8483238,2.4647894,2.102388,1.945118,1.7127922,1.5656078,1.5261449,1.5447278,1.7556391,2.424739,1.2854347,0.7171991,0.5743156,0.22479817,0.20017743,0.18452151,0.18228091,0.16834636,0.19686106,0.2235747,0.30841258,0.38028666,0.39547455,0.42039257,0.37139514,0.42622668,0.4061082,0.37936196,0.39371938,0.44156605,0.49727666,0.5223277,0.53230834,0.5212458,0.54392636,0.46909395,0.299515,0.25867036,0.19895306,0.19377236,0.19421954,0.21723656,0.78123975,1.4061843,1.3844576,1.2278485,1.053547,0.8788339,0.75348985,0.66049844,0.5952541,0.59156084,0.5774417,0.5786995,0.6072012,0.6661935,0.73110676,0.7990612,0.75403243,0.6236876,0.37626463,1.4273700714111328,2.450200080871582,2.7857699394226074,3.133729934692383,3.340320110321045,3.4594099521636963,6.727789878845215,8.043749809265137,7.809929847717285,8.452670097351074,8.519180297851562,7.5549798011779785,6.296090126037598,5.762539863586426,5.697959899902344,5.238659858703613,5.502120018005371,5.301249980926514,5.44297981262207,6.014470100402832,6.778369903564453,2.5009400844573975,0.9793699979782104,0.7255200147628784
2457,0.48837477,0.45600858,0.4140514,0.4057036,0.7617686,0.62635326,0.6259989,0.70045483,0.89813185,0.9196447,0.88308126,0.7672027,0.7197653,0.74314606,0.83637345,0.87183326,0.7991309,0.77974063,0.8463556,1.4685931,0.997985,1.0319444,0.7631253,0.56926346,0.5397274,0.51046526,0.4728491,0.7173156,0.41315287,0.42164105,0.4700733,0.6448923,0.7147091,0.6343114,0.8217659,0.8309474,0.8301888,0.8682318,0.935187,1.1654623,1.1635786,1.162649,1.3505118,1.3520396,1.2275907,1.0395658,0.92151576,0.6750621,0.3818146,0.3431422,0.33366472,0.5696382,0.36815405,0.34451777,0.4073829,0.51770556,0.60011035,0.69470954,0.70149314,0.7680378,0.73106617,0.6850074,0.79373276,0.79230607,0.768117,0.89206165,1.095716,1.0335284,0.84032303,0.7561168,0.6286373,0.4517249,0.698449969291687,0.7239899635314941,0.7344000339508057,0.7405999898910522,1.405269980430603,1.006659984588623,0.9858199954032898,0.9758999943733215,1.440310001373291,1.3015400171279907,0.9129999876022339,0.8320199847221375,0.8130899667739868,3.61860990524292,3.8406500816345215,1.9892200231552124,0.910860002040863,1.0714900493621826,2.0635199546813965,2.2727599143981934,1.2699099779129028,4.753280162811279,2.3552401065826416,1.1083099842071533
